date time,[Input]Dam/water_level,[SP]Control Group 1/PID Rule,[Output]Woodruff_Dam_simple/CrestLevel,[IP]Control Group 1/PID Rule,[DP]Control Group 1/PID Rule,[PID]Control Group 1/PID Rule_isActive
2023-08-10 10:10:00,23.513738391,23.2312464,23.2226088292,,,1
2023-08-10 10:15:00,23.5131182613,23.2312464,23.2060253853,,,1
2023-08-10 10:20:00,23.5127102683,23.2302304,23.1887354168,,,1
2023-08-10 10:25:00,23.512505881,23.2292144,23.171239259,,,1
2023-08-10 10:30:00,23.5124273314,23.2281984,23.1535315198,,,1
2023-08-10 10:35:00,23.5123777385,23.2271824,23.1356668636,,,1
2023-08-10 10:40:00,23.5123421169,23.2261664,23.1177210576,,,1
2023-08-10 10:45:00,23.5122762208,23.2251504,23.0997052518,,,1
2023-08-10 10:50:00,23.5122972426,23.2251504,23.0825304202,,,1
2023-08-10 10:55:00,23.5125548532,23.2251504,23.0652847921,,,1
2023-08-10 11:00:00,23.5129386806,23.2251504,23.0478344362,,,1
2023-08-10 11:05:00,23.5132559811,23.2251504,23.0302600774,,,1
2023-08-10 11:10:00,23.5135811625,23.2251504,23.0127199022,,,1
2023-08-10 11:15:00,23.5139182594,23.2251504,22.9951539113,,,1
2023-08-10 11:20:00,23.5141292503,23.2241344,22.9766844015,,,1
2023-08-10 11:25:00,23.5140180557,23.2231184,22.9582421579,,,1
2023-08-10 11:30:00,23.5138573662,23.2221024,22.9400033745,,,1
2023-08-10 11:35:00,23.5143261976,23.2231184,22.9235003895,,,1
2023-08-10 11:40:00,23.5154398335,23.2241344,22.9065266161,,,1
2023-08-10 11:45:00,23.5167664076,23.2251504,22.8890311409,,,1
2023-08-10 11:50:00,23.5174696069,23.2251504,22.8704729204,,,1
2023-08-10 11:55:00,23.5175180528,23.2251504,22.8523712089,,,1
2023-08-10 12:00:00,23.5172206515,23.2251504,22.8347903934,,,1
2023-08-10 12:05:00,23.517164664,23.2241344,22.816630339,,,1
2023-08-10 12:10:00,23.5175021543,23.2231184,22.798219553,,,1
2023-08-10 12:15:00,23.5177809582,23.2221024,22.7794127752,,,1
2023-08-10 12:20:00,23.5175689505,23.2221024,22.7614490193,,,1
2023-08-10 12:25:00,23.5169338859,23.2221024,22.7438906328,,,1
2023-08-10 12:30:00,23.5163276077,23.2221024,22.7267087956,,,1
2023-08-10 12:35:00,23.5160272748,23.2221024,22.7095403056,,,1
2023-08-10 12:40:00,23.5158205191,23.2221024,22.6921450792,,,1
2023-08-10 12:45:00,23.5154481919,23.2221024,22.6746873967,,,1
2023-08-10 12:50:00,23.5148895802,23.2210864,22.6565107503,,,1
2023-08-10 12:55:00,23.5143211114,23.2200704,22.638455689,,,1
2023-08-10 13:00:00,23.5136766269,23.2190544,22.6203816614,,,1
2023-08-10 13:05:00,23.512783718,23.2200704,22.6040936767,,,1
2023-08-10 13:10:00,23.5117175391,23.2210864,22.588118965,,,1
2023-08-10 13:15:00,23.510655818,23.2221024,22.5724077999,,,1
2023-08-10 13:20:00,23.509709464,23.2221024,22.5559439709,,,1
2023-08-10 13:25:00,23.5087668965,23.2221024,22.5394446302,,,1
2023-08-10 13:30:00,23.5076339364,23.2221024,22.5229988145,,,1
2023-08-10 13:35:00,23.5063727533,23.2231184,22.5076470512,,,1
2023-08-10 13:40:00,23.5050276982,23.2241344,22.4925344966,,,1
2023-08-10 13:45:00,23.5038684038,23.2251504,22.4776307027,,,1
2023-08-10 13:50:00,23.5028785296,23.2251504,22.4618350573,,,1
2023-08-10 13:55:00,23.501841743,23.2251504,22.4459632687,,,1
2023-08-10 14:00:00,23.5007214262,23.2251504,22.4301912175,,,1
2023-08-10 14:05:00,23.499686283,23.2251504,22.4145532094,,,1
2023-08-10 14:10:00,23.4987833514,23.2251504,22.398909171,,,1
2023-08-10 14:15:00,23.4978978513,23.2251504,22.383213539,,,1
2023-08-10 14:20:00,23.4969282645,23.2251504,22.367557092,,,1
2023-08-10 14:25:00,23.4960284843,23.2251504,22.3520260896,,,1
2023-08-10 14:30:00,23.4952473382,23.2251504,22.3364932287,,,1
2023-08-10 14:35:00,23.4944283135,23.2251504,22.3209123292,,,1
2023-08-10 14:40:00,23.493363333,23.2251504,22.3054108742,,,1
2023-08-10 14:45:00,23.4920671341,23.2251504,22.2901700827,,,1
2023-08-10 14:50:00,23.4908337118,23.2241344,22.2743182773,,,1
2023-08-10 14:55:00,23.4896456098,23.2231184,22.2584292964,,,1
2023-08-10 15:00:00,23.4883733375,23.2221024,22.2425143854,,,1
2023-08-10 15:05:00,23.4868115273,23.2200704,22.2258084264,,,1
2023-08-10 15:10:00,23.4848531254,23.2180384,22.2093058871,,,1
2023-08-10 15:15:00,23.4827119964,23.2160064,22.1931162054,,,1
2023-08-10 15:20:00,23.4807330566,23.2170224,22.1797005349,,,1
2023-08-10 15:25:00,23.4789408528,23.2180384,22.1663348072,,,1
2023-08-10 15:30:00,23.4771476664,23.2190544,22.152988183,,,1
2023-08-10 15:35:00,23.475017826,23.2190544,22.1389371355,,,1
2023-08-10 15:40:00,23.4729252764,23.2190544,22.1252832024,,,1
2023-08-10 15:45:00,23.4708818947,23.2190544,22.1117249895,,,1
2023-08-10 15:50:00,23.468975195,23.2200704,22.0991238058,,,1
2023-08-10 15:55:00,23.4670920907,23.2210864,22.0865886378,,,1
2023-08-10 16:00:00,23.465153689,23.2221024,22.0742085397,,,1
2023-08-10 16:05:00,23.4630253512,23.2221024,22.0611761832,,,1
2023-08-10 16:10:00,23.4605053532,23.2221024,22.0484234765,,,1
2023-08-10 16:15:00,23.4577362179,23.2221024,22.0361352979,,,1
2023-08-10 16:20:00,23.4550001683,23.2210864,22.0233388166,,,1
2023-08-10 16:25:00,23.4523273215,23.2200704,22.0106190701,,,1
2023-08-10 16:30:00,23.4497098416,23.2190544,21.9979481722,,,1
2023-08-10 16:35:00,23.4471107432,23.2200704,21.987076591,,,1
2023-08-10 16:40:00,23.4446004312,23.2210864,21.9764072091,,,1
2023-08-10 16:45:00,23.4421477273,23.2221024,21.9658783767,,,1
2023-08-10 16:50:00,23.4395217553,23.2210864,21.9537640589,,,1
