x,y
698867.15,3408211.4
698879.05,3408193.9
698890.71,3408175.8
698901.76,3408157
698912.05,3408137.6
698921.6,3408117.8
698930.5,3408097.7
698938.91,3408077.3
698946.99,3408056.4
698954.58,3408034.9
698961.51,3408012.3
698965.93,3407989.1
698966.81,3407966.5
698966.32,3407943.9
698965.65,3407922.6
698964.61,3407902
698964.02,3407882.1
698963.84,3407862.4
698963.98,3407842.9
698964.45,3407823
698965.3,3407803.2
698966.73,3407783.4
698967.97,3407762.4
698967.79,3407739.7
698970.52,3407719.3
698973.51,3407701
698977.63,3407680.9
698981.16,3407661.9
698984.03,3407639.4
698989.35,3407619.3
698994.68,3407599
699003.07,3407580
699011.1,3407561.8
699019.35,3407542.9
699028.8,3407521.9
699040.08,3407496.3
699047.99,3407478.5
699055.77,3407461.7
699065.74,3407441.8
699075.87,3407420.7
699085.49,3407400.7
699095.11,3407381.9
699105.16,3407360.9
699112.14,3407336.9
699126.92,3407318.2
699141.83,3407298.5
699156.8,3407277.2
699170.14,3407254.5
699182.07,3407231.6
699192.83,3407208.8
699202.59,3407186.2
699211.5,3407164.1
699219.77,3407142.6
699227.7,3407121.9
699235.6,3407102
699243.72,3407082.8
699252.26,3407064.1
699261.48,3407045.6
699271.33,3407027
699281.21,3407008.1
699291.41,3406989.3
699301.88,3406970.2
699312.45,3406950.6
699322.93,3406930.4
699333.09,3406909.7
699342.74,3406888.4
699351.45,3406866.8
699359.49,3406845.3
699367.11,3406823.9
699374.44,3406802.6
699381.64,3406781.5
699388.82,3406760.4
699395.94,3406739.3
699403.07,3406718.2
699410.29,3406697.3
699417.61,3406676.5
699425.01,3406655.6
699432.52,3406634.8
699440.15,3406614
699447.96,3406592.9
699464.43,3406586.3
699479.85,3406576.7
699491.67,3406568
699502.72,3406560.1
699511.84,3406552
699517.92,3406545.4
699525.62,3406537.2
699533.43,3406528.8
699541.95,3406519.9
699549.9,3406511.2
699558.35,3406502.8
699565.46,3406494.9
699573.17,3406486.9
699581.69,3406477.9
699591.22,3406467
699598.29,3406456.4
699606.61,3406446.8
699615.3,3406437.1
699623.74,3406427.2
699631.71,3406418.2
699640.25,3406409.6
699649.56,3406402.1
699659.14,3406393.4
699666.94,3406386.8
699674.48,3406379.7
699681.99,3406373.9
699689.27,3406368.8
